Title,Artist,Album
"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]","Mithoon, Arijit Singh","Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]"
Sanam Re,"Mithoon, Arijit Singh",Sanam Re
"Dooriyan (From ""Love Aaj Kal"")",Mohit Chauhan,Love Aaj Kal
Saadda Haq,Mohit Chauhan,Rockstar
Tujhe Bhula Diya,"Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",Anjaana Anjaani
Sawaar Loon,Monali Thakur,Lootera
Duaa,"Nandini Srikar, Arijit Singh",Shanghai
Nainowale Ne,Neeti Mohan,Padmaavat
"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar, Dhvani Bhanushali, Ikka, Tanishk Bagchi","Dilbar (From ""Satyameva Jayate"")"
La La La,"Neha Kakkar, Arjun Kanungo",La La La
Meri Aashiqui,"Palak Muchhal, Arijit Singh",Aashiqui 2
Teri Meri Kahaani,"Palak Muchhal, Arijit Singh",Gabbar Is Back (Original Motion Picture Soundtrack)
Aao Milo Chalo,"Pritam, Shaan, Sultan Khan",Jab We Met
Abhi Kuch Dino Se,"Pritam, Mohit Chauhan",Dil Toh Baccha Hai Ji
Afghan Jalebi (Film Version),"Pritam, Akhtar Chinnal",Phantom
Allah Maaf Kare,"Pritam, Sonu Nigam, Shilpa Rao",Desi Boyz
Balam Pichkari,"Pritam, Vishal Dadlani, Shalmali Kholgade",Yeh Jawaani Hai Deewani
"Bheegi Bheegi - From ""Gangster""","Pritam, James",Gangster (Original Motion Picture Soundtrack)
Bhool Bhulaiyaa,"Pritam, Neeraj Shridhar",Bhool Bhulaiyaa
Dilliwaali Girlfriend,"Pritam, Arijit Singh, Sunidhi Chauhan",Yeh Jawaani Hai Deewani
Haan Tu Hain,"Pritam, KK",Jannat (Original Motion Picture Soundtrack)
Hai Junoon,"Pritam, KK, Sandeep Shrivastava, Pankaj Awasthi",New York
Ilahi,"Pritam, Arijit Singh",Yeh Jawaani Hai Deewani
Jiyein Kyun,"Pritam, Papon",Dum Maaro Dum
Kabira,"Pritam, Tochi Raina, Rekha Bhardwaj",Yeh Jawaani Hai Deewani
Labon Ko,"Pritam, KK",Bhool Bhulaiyaa
Make Some Noise For The Desi Boyz,"Pritam, KK, Bob",Desi Boyz
Mere Bina,"Pritam, Nikhil D'Souza",Crook (Original Motion Picture Soundtrack)
Mere Dholna,"Pritam, Shreya Ghoshal, M. G. Sreekumar",Bhool Bhulaiyaa
Meri Maa,"Pritam, KK",Yaariyan
Pee Loon,"Pritam, Mohit Chauhan",Once Upon A Time In Mumbaai
Raabta,"Pritam, Arijit Singh",Agent Vinod
Sajde,"Pritam, KK, Sunidhi Chauhan",Khatta Meetha
Sau Tarah Ke,"Pritam, Jonita Gandhi, Amit Mishra",Dishoom
Subha Hone Na De,"Pritam, Mika Singh, Shefali Alvares",Desi Boyz
Subhanallah,"Pritam, Sreeram, Shilpa Rao",Yeh Jawaani Hai Deewani
Tum Jo Aaye,"Pritam, Rahat Fateh Ali Khan, Tulsi Kumar",Once Upon A Time In Mumbaai
Tum Se Hi,"Pritam, Mohit Chauhan",Jab We Met
Ye Ishq Hai,"Pritam, Shreya Ghoshal",Jab We Met
Ye Tune Kya Kiya,"Pritam, Javed Bashir",Once Upon Ay Time In Mumbai Dobaara !
Zara Sa,"Pritam, KK",Jannat (Original Motion Picture Soundtrack)
